user_id,book_id
15,275
34,8598
149,374
185,4421
185,297
185,2559
137,1272
112,3646
112,2770
162,199
162,2938
162,4253
162,5905
162,136
270,374
364,741
301,1381
222,3092
222,1014
206,5604
395,2063
399,3425
399,1503
399,5187
322,9927
453,495
399,3792
488,1460
506,350
416,4092
506,484
506,54
506,374
537,101
554,405
543,113
580,1449
580,427
580,4722
580,4972
513,2098
590,952
603,374
448,1272
554,113
670,8367
488,854
670,495
624,495
497,297
663,495
718,3320
718,3598
793,1272
801,113
841,9178
663,101
756,3036
839,3600
914,297
916,405
850,426
929,101
871,1584
506,951
953,9287
991,54
816,2621
1029,374
1033,3792
253,1421
585,4055
488,1976
1005,2770
1033,405
991,1381
875,1713
1061,113
977,495
462,426
547,7796
543,1873
976,344
976,113
791,77
791,184
547,3579
7,4468
1046,3027
1180,5918
1135,113
311,2321
793,817
1178,3092
1236,426
1211,2938
786,3650
1176,5604
533,405
1346,3187
746,1392
765,6917
765,7522
80,8367
1334,316
383,113
1394,1676
1012,743
1430,484
954,9299
1437,4979
1315,344
1011,3027
1474,7959
1403,710
1526,426
1504,1622
1515,101
683,1873
1166,3338
1571,3187
1547,4858
547,3187
1582,101
875,710
1414,495
1666,1279
756,1381
1526,855
1722,113
1125,476
1663,297
1734,113
1743,3597
1550,238
1503,101
1551,1748
765,4972
815,1102
1147,741
1649,7969
774,7137
774,101
1744,3650
875,1107
875,2938
1726,344
1726,372
1726,943
1726,1923
1726,2579
440,741
1726,3250
1723,561
1835,113
1835,6828
1835,6816
1403,374
1835,495
1835,5905
1350,2691
1824,1873
1180,1924
1180,2658
1889,426
627,223
627,918
627,1137
283,1856
1897,8115
1112,3566
947,228
1935,238
1089,758
1850,1873
1012,1007
1913,310
1913,495
1913,101
1965,9579
1926,495
1915,1272
1649,7379
1649,4510
863,710
2019,1657
1032,4468
1574,4316
1649,3646
718,54
718,297
1504,4079
1977,113
2036,495
2075,372
683,8992
1526,1960
318,495
318,113
318,484
706,6559
1497,409
2080,108
2080,1392
2080,576
2080,3250
2019,2615
2223,2897
2080,3856
2080,5330
2080,5355
2233,1873
2080,627
2080,9287
2080,3320
670,4418
670,8045
2283,476
2270,1584
2130,3187
2130,405
2130,4972
2130,4421
2130,1960
2186,238
2017,1254
2291,495
3,3566
1953,7491
2334,1304
1942,574
1942,426
2373,1873
2084,2552
2389,7379
1357,1155
2397,1923
2397,405
2407,275
2162,113
1847,316
2370,6180
2431,316
1910,2615
1942,1957
2438,238
1261,1156
1907,1657
2481,228
1060,9323
919,113
2502,238
2502,113
2513,3933
605,2815
2178,1168
2519,1102
2519,2233
2519,199
2178,113
2178,297
2530,8045
2546,344
2589,3598
2361,5474
1069,2559
2569,1299
2407,6892
2615,3656
1823,1392
2337,6853
2337,1163
2337,873
2337,50
1866,2897
2662,344
2662,238
2662,113
2662,101
2667,3579
2667,956
2667,570
1111,5215
1835,1392
1835,5482
2687,1657
2687,5616
2687,3792
2713,3187
2713,199
2397,3425
2732,1087
2736,495
774,2938
1095,1096
2732,3187
1400,6194
2258,426
2258,3187
2796,113
2767,426
706,1156
822,283
462,1102
826,741
2397,54
2713,3794
1400,2044
2737,3650
1270,3187
2397,591
2709,1156
2295,1156
2907,1923
2907,2233
2737,1683
2438,350
2438,495
2438,297
2624,350
818,465
1270,3566
848,1873
2962,1768
2962,1727
2962,1342
2738,1873
1270,2559
2951,372
2951,374
2437,1701
1845,113
2438,2098
2954,344
2998,6828
344,3187
765,2044
2953,5155
2853,238
2853,1392
3011,2881
2953,113
2953,4031
2953,5294
3023,113
2709,5122
533,1503
2181,1156
547,2044
2437,3501
2162,758
2709,3650
1845,6582
1845,1957
3053,1495
952,2034
3061,495
3061,113
954,2881
2853,3036
2928,3428
2928,2274
1876,6917
3029,6322
3084,1421
3029,666
3087,101
3087,344
3087,2415
3087,2559
2809,3133
2294,1272
1124,1381
1403,1318
3110,113
2009,9579
3085,495
3079,495
3049,1676
3049,3133
3049,3068
3049,3600
3115,405
3115,2098
3035,627
3086,113
2967,136
2427,78
2070,2559
2962,751
2962,1014
2962,1332
2537,4415
3141,9178
3061,1272
3061,1584
3061,374
3061,3933
3061,758
3061,3856
2701,9461
952,7379
2859,1957
1903,5436
1903,238
1235,6816
1235,3254
3029,3092
3181,2573
2985,5330
3074,495
3158,4565
3158,3547
3158,5072
3105,1873
952,3250
1850,7093
3254,238
3252,78
1092,6865
559,5072
3265,1156
3269,374
3254,1683
690,1683
3105,7093
440,1168
3290,1436
3290,2610
3290,2938
3293,5358
3293,2897
3293,495
1846,2044
283,4908
3277,283
3277,1272
3277,3597
1315,3296
1617,3296
2704,207
2361,372
2809,9299
3176,495
1124,5474
3321,50
3276,6011
3276,374
3345,248
2709,2733
3269,2044
3269,2615
3269,758
3301,6816
3293,374
3293,4079
3321,994
3321,2691
3296,8389
2389,741
3023,1444
2260,484
3372,238
3354,1156
3023,2034
3023,4979
3363,561
3363,1096
3363,405
3055,113
3270,1856
2652,4092
2123,426
918,561
1315,5474
1507,3566
2920,1692
670,3296
3470,1163
2460,3610
3479,1676
2122,1657
2019,7538
1043,574
3492,1392
3492,101
3492,1495
3492,1873
3492,3187
2699,3023
3522,3187
2437,9038
1465,2897
3536,344
1285,374
476,591
3555,495
3446,9579
1069,3187
3422,1299
3422,2274
3422,2025
3517,5155
3536,113
3581,5632
3176,3878
2995,78
3597,238
1117,6180
703,5616
703,788
3141,374
2685,3092
954,5347
954,6828
2399,238
2399,1155
2399,1298
2399,1554
1736,1873
3629,956
3136,2044
